seq_name,nu
A0A1B0GTY4_1_71,0.512
A0A1B0GTZ2_118_161,0.561
A0A1B0GTZ2_222_297,0.529
A0A1B0GU29_1_46,0.521
A0A1B0GU29_82_152,0.569
A0A1B0GU33_1_70,0.551
A0A1B0GUA5_1_103,0.514
A0A1B0GUA6_38_201,0.527
A0A1B0GUA7_110_166,0.54
A0A1B0GUA7_1_47,0.536
A0A1B0GUA9_1_212,0.514
A0A1B0GUC4_1_108,0.532
A0A1B0GUI7_1_84,0.516
A0A1B0GUJ8_135_204,0.534
A0A1B0GUQ0_1_79,0.473
A0A1B0GUS0_88_222,0.532
A0A1B0GUT2_1_108,0.531
A0A1B0GUU1_83_130,0.567
A0A1B0GUV1_1_79,0.517
A0A1B0GUV7_1_120,0.524
A0A1B0GUW6_66_1196,0.522
A0A1B0GUY1_1_285,0.529
A0A1B0GV03_458_622,0.517
A0A1B0GV03_209_249,0.571
A0A1B0GV03_1_64,0.551
A0A1B0GV22_1_79,0.491
A0A1B0GV85_167_526,0.526
A0A1B0GVD1_110_139,0.55
A0A1B0GVG4_195_234,0.621
A0A1B0GVG4_1_61,0.544
A0A1B0GVG6_1_124,0.468
A0A1B0GVH4_1_220,0.472
A0A1B0GVH6_1_325,0.463
A0A1B0GVH7_1_285,0.516
A0A1B0GVM5_1_59,0.546
A0A1B0GVM6_1_126,0.536
A0A1B0GVN3_1_265,0.494
A0A1B0GVQ0_47_90,0.545
A0A1B0GVQ3_47_168,0.542
A0A1B0GVS7_1_189,0.533
A0A1B0GVT2_38_93,0.565
A0A1B0GVV1_39_85,0.529
A0A1B0GVX0_1_72,0.509
A0A1B0GVY4_31_71,0.487
A0A1B0GVZ6_1_165,0.51
A0A1B0GW64_1_132,0.518
A0A1B0GWB2_1_263,0.513
A0A1B0GWH4_1_75,0.576
A0A1B0GWH4_188_333,0.4
A0A1W2PP97_1_45,0.52
A0A1W2PPF3_72_112,0.564
A0A1W2PPF3_156_345,0.518
A0A1W2PPM1_96_405,0.506
A0A1W2PQ73_1_41,0.54
A0A1W2PQ73_124_354,0.515
A0A1W2PR48_1_146,0.524
A0A1W2PR82_234_267,0.583
A0A1W2PR82_1_81,0.547
A0A1W2PR82_131_181,0.548
A0A1W2PRP0_116_233,0.486
A0A1W2PS18_1_115,0.522
A0A286YEV6_1_105,0.536
A0A286YEX9_1_47,0.531
A0A286YEY9_1_88,0.535
A0A286YF01_1_96,0.518
A0A286YF46_1_85,0.533
A0A286YF58_1_205,0.514
A0A286YF58_259_385,0.437
A0A286YF60_1_100,0.534
A0A286YF77_1_105,0.535
A0A286YFB4_1_120,0.536
A0A286YFG1_1_108,0.529
A0A2R8Y4Y8_103_160,0.545
A0A2R8YFL7_120_184,0.522
A0A2R8YFM6_113_193,0.541
A0A2Z4LIS9_1_238,0.514
A0A3B3IT52_123_213,0.525
A0A3B3IT52_1_34,0.577
A0A494C086_1_189,0.486
A0A494C086_275_341,0.634
A0A494C0N9_1_108,0.549
A0A494C0N9_159_232,0.534
A0A494C0Y3_1_106,0.543
A0A494C0Y3_161_232,0.55
A0A494C0Z2_1_102,0.467
A0A494C191_1_102,0.475
A0A5F9ZHS7_101_289,0.501
A0AUZ9_413_987,0.47
A0AUZ9_260_367,0.545
A0AUZ9_1_217,0.53
A0AV02_647_714,0.513
A0AV02_1_40,0.557
A0AV02_405_594,0.506
A0AV96_1_30,0.595
A0AV96_318_593,0.5
A0AVF1_1_32,0.589
A0AVI2_121_328,0.5
A0AVI2_952_1072,0.494
A0AVI2_1336_1400,0.51
A0AVI2_1927_2057,0.436
A0AVI2_433_473,0.54
A0AVK6_1_122,0.523
A0AVK6_209_268,0.53
A0AVK6_339_867,0.523
A0AVT1_1_43,0.59
A0FGR8_656_778,0.555
A0FGR8_1_192,0.481
A0FGR9_449_488,0.536
A0FGR9_580_758,0.506
A0FGR9_1_117,0.489
A0JLT2_162_244,0.573
A0JLT2_1_68,0.536
A0JNW5_407_458,0.565
A0JNW5_733_807,0.554
A0JNW5_870_1192,0.531
A0JNW5_1351_1429,0.529
A0JNW5_264_307,0.57
A0JP26_1_131,0.509
A0JP26_367_499,0.567
A0MZ66_108_138,0.618
A0MZ66_349_631,0.532
A0PG75_1_66,0.536
A0PJW6_1_36,0.546
A0PJW8_1_59,0.562
A0PJX2_1_45,0.359
A0PJX4_124_238,0.504
A0PJX8_310_343,0.582
A0PJY2_421_475,0.557
A0PJY2_1_264,0.532
A0PJZ0_1_33,0.549
A0PJZ3_1_109,0.559
A0PK05_67_275,0.47
A1A4F0_1_135,0.5
A1A4G5_1_178,0.498
A1A4S6_361_392,0.574
A1A4S6_577_734,0.52
A1A4V9_1_69,0.523
A1A4V9_230_278,0.58
A1A519_271_330,0.581
A1A519_1_222,0.508
A1A580_1_65,0.512
A1A5B4_748_782,0.535
A1A5B4_1_41,0.577
A1A5B4_88_121,0.553
A1A5C7_1_86,0.544
A1A5C7_123_208,0.528
A1A5C7_630_686,0.558
A1A5D9_475_508,0.538
A1A5D9_283_354,0.537
A1A5D9_1_53,0.544
A1E959_1_279,0.498
A1IGU5_566_615,0.544
A1KXE4_1_195,0.524
A1KZ92_1296_1463,0.522
A1L020_1_122,0.549
A1L020_292_469,0.511
A1L162_127_156,0.67
A1L162_1_53,0.625
A1L168_82_122,0.558
A1L170_1_272,0.518
A1L1A6_1_45,0.521
A1L390_1_95,0.546
A1L390_403_1219,0.483
A1L3X4_1_49,0.561
A1L429_1_117,0.51
A1L443_1_210,0.53
A1L443_301_756,0.46
A1L453_1_54,0.553
A1L4H1_397_471,0.559
A1L4H1_866_1497,0.527
A1L4H1_562_777,0.515
A1L4H1_114_204,0.51
A1L4H1_1535_1573,0.564
A1L4K1_1_193,0.54
A1L4L8_1_59,0.518
A1L4Q6_1_167,0.502
A1X283_127_217,0.566
A1X283_272_378,0.528
A1X283_419_860,0.517
A1XBS5_231_289,0.472
A1YPR0_124_373,0.514
A1YPR0_462_619,0.479
A1Z1Q3_243_425,0.6
A2A288_44_84,0.554
A2A288_282_480,0.509
A2A2V5_70_107,0.547
A2A2V5_1_35,0.582
A2A2Y4_357_510,0.541
A2A2Y4_1_32,0.569
A2A2Z9_257_345,0.553
A2A2Z9_1_33,0.532
A2A2Z9_929_1011,0.518
A2A2Z9_524_754,0.54
A2A368_1_113,0.558
A2A3K4_1_37,0.571
A2A3K4_322_587,0.519
A2A3L6_407_582,0.499
A2A3N6_1_35,0.576
A2A3N6_277_497,0.511
A2A3N6_659_862,0.581
A2AJT9_1_711,0.481
A2CJ06_379_578,0.548
A2CJ06_291_330,0.583
A2IDD5_1_56,0.523
A2IDD5_317_438,0.506
A2IDD5_102_166,0.54
A2PYH4_1091_1435,0.491
A2PYH4_1_266,0.503
A2RRD8_479_509,0.567
A2RRD8_1_159,0.501
A2RRH5_256_308,0.551
A2RRH5_409_498,0.551
A2RRL7_1_58,0.545
A2RRP1_1_84,0.489
A2RRP1_275_325,0.551
A2RRP1_443_521,0.398
A2RRP1_1356_1524,0.517
A2RRP1_1125_1243,0.518
A2RRP1_619_664,0.54
A2RTX5_1_135,0.538
A2RTY3_473_570,0.54
A2RTY3_1_146,0.521
A2RU30_240_521,0.474
A2RU30_1_164,0.518
A2RU37_1_121,0.507
A2RU54_225_273,0.51
A2RU54_1_146,0.533
A2RU67_1_101,0.52
A2RUB1_910_952,0.574
A2RUB1_1_749,0.488
A2RUB6_567_711,0.532
A2RUB6_742_900,0.515
A2RUB6_361_449,0.539
A2RUB6_22_325,0.544
A2RUG3_1_117,0.489
A2RUH7_1_45,0.565
A2RUQ5_1_167,0.491
A2RUR9_1310_1427,0.498
A2RUR9_1108_1155,0.561
A2RUR9_785_824,0.569
A2RUR9_1_646,0.507
A2RUS2_1_43,0.483
A2RUS2_428_518,0.515
A2RUT3_1_117,0.524
A2VCK2_87_133,0.541
A2VCK2_207_349,0.513
A2VDJ0_1_95,0.467
A2VDJ0_195_409,0.524
A2VDJ0_475_591,0.505
A2VDJ0_897_1609,0.495
A2VEC9_903_971,0.536
A2VEC9_4153_5150,0.476
A2VEC9_1_198,0.509
A3KMH1_1201_1233,0.557
A3KMH1_1301_1337,0.563
A3KMH1_1384_1419,0.587
A3KMH1_1_64,0.507
A3KMH1_1522_1702,0.493
A3KN83_1_250,0.511
A3KN83_1001_1044,0.555
A3KN83_666_850,0.494
A3QJZ6_111_153,0.556
A3QJZ7_106_152,0.514
A4D0S4_850_1761,0.485
A4D0S4_556_593,0.574
A4D0V7_498_571,0.547
A4D0V7_419_452,0.557
A4D0V7_207_273,0.541
A4D0V7_955_1026,0.544
A4D0V7_1_164,0.501
A4D0Y5_1_90,0.541
A4D126_1_50,0.565
A4D161_228_298,0.52
A4D1B5_778_854,0.458
A4D1E1_124_1349,0.47
A4D1E1_1_43,0.564
A4D1E9_353_387,0.556
A4D1E9_198_228,0.555
A4D1F6_1_153,0.539
A4D1N5_1_150,0.489
A4D1P6_209_399,0.506
A4D1S0_1_253,0.538
A4D1S5_186_217,0.575
A4D1U4_1_78,0.556
A4D1U4_195_235,0.557
A4D250_1_179,0.507
A4D256_354_447,0.507
A4D263_1_438,0.491
A4D2B8_378_440,0.538
A4D2B8_1_220,0.503
A4D2G3_256_310,0.531
A4D2H0_499_777,0.515
A4D2H0_273_317,0.534
A4D2H0_1_46,0.561
A4D2P6_207_285,0.546
A4D2P6_78_137,0.551
A4D2P6_460_892,0.502
A4D2P6_347_385,0.577
A4FU01_481_709,0.477
A4FU01_1_54,0.528
A4FU28_1_51,0.562
A4FU28_499_777,0.506
A4FU28_273_317,0.537
A4FU49_1_65,0.543
A4FU49_126_571,0.502
A4FU69_1_251,0.525
A4FU69_1468_1503,0.55
A4FU69_439_763,0.53
A4GXA9_1_56,0.505
A4IF30_1_155,0.523
A4IF30_483_521,0.544
A4QN01_1_128,0.485
A4QPB2_217_252,0.571
A4QPH2_282_348,0.52
A4UGR9_2858_3374,0.518
A5A3E0_1_133,0.527
A5A3E0_363_632,0.555
A5D8T8_1_45,0.545
A5D8V6_165_355,0.524
A5D8V7_529_595,0.465
A5D8V7_316_353,0.544
A5D8V7_1_71,0.569
A5D8W1_867_941,0.555
A5D8W1_1_54,0.544
A5LHX3_1_38,0.562
A5LHX3_254_300,0.607
A5PKW4_1_557,0.464
A5PKW4_973_1024,0.545
A5PKW4_711_759,0.538
A5PL33_836_1030,0.484
A5PL33_1_800,0.49
A5PLK6_751_794,0.533
A5PLK6_826_869,0.554
A5PLK6_87_368,0.443
A5PLK6_987_1076,0.548
A5PLK6_499_643,0.516
A5PLL1_150_514,0.507
A5PLN7_318_442,0.501
A5PLN7_1_276,0.508
A5PLN7_482_773,0.523
A5X5Y0_343_415,0.518
A5X5Y0_1_33,0.541
A5YKK6_156_344,0.523
A5YKK6_620_849,0.528
A5YKK6_1306_1365,0.556
A5YKK6_1801_1839,0.552
A5YKK6_1571_1617,0.557
A5YKK6_993_1088,0.546
A5YM69_1_484,0.555
A6BM72_819_1044,0.476
A6H8M9_1_31,0.551
A6H8M9_645_770,0.529
A6H8Y1_1_297,0.451
A6H8Z2_1_218,0.565
A6NC05_1_138,0.487
A6NC57_530_561,0.568
A6NC57_259_424,0.501
A6NC57_678_710,0.569
A6NC57_1_36,0.566
A6NC62_1_111,0.511
A6NC78_1_81,0.547
A6NC78_413_632,0.523
A6NC97_165_203,0.573
A6NC98_942_990,0.54
A6NC98_1_58,0.485
A6NC98_225_261,0.553
A6NC98_422_731,0.553
A6NC98_1289_1476,0.503
A6NCC3_1_81,0.541
A6NCC3_413_632,0.534
A6NCF6_1_99,0.548
A6NCI4_1_131,0.463
A6NCI4_717_915,0.553
A6NCI4_345_399,0.564
A6NCI5_1_91,0.51
A6NCI8_1_862,0.482
A6NCJ1_1_209,0.471
A6NCL1_1_74,0.547
A6NCL1_135_306,0.509
A6NCL7_1_89,0.573
A6NCL7_347_451,0.501
A6NCL7_255_313,0.55
A6NCM1_450_485,0.572
A6NCM1_322_394,0.556
A6NCN8_201_305,0.525
A6NCN8_1_61,0.512
A6NCQ9_1_191,0.501
A6NCS4_1_129,0.519
A6NCS4_203_301,0.532
A6NCS6_1_104,0.53
A6NCS6_205_295,0.528
A6NCW0_1_77,0.522
A6NCW0_380_530,0.498
A6NCW7_380_530,0.491
A6NCW7_1_77,0.523
A6ND36_67_131,0.582
A6ND36_317_823,0.5
A6NDA9_469_550,0.5
A6NDA9_348_377,0.557
A6NDB9_105_673,0.528
A6NDD5_1_210,0.506
A6NDE4_84_496,0.46
A6NDE8_1_117,0.53
A6NDI0_293_332,0.543
A6NDK9_1_76,0.518
A6NDK9_487_693,0.568
A6NDK9_273_305,0.592
A6NDL7_1_58,0.554
A6NDL8_259_312,0.565
A6NDN3_1_76,0.533
A6NDN3_485_693,0.572
A6NDN3_274_306,0.589
A6NDR6_1_168,0.528
A6NDR6_221_274,0.55
A6NDS4_1_54,0.534
A6NDS4_214_549,0.464
A6NDV4_1_41,0.552
A6NDV4_427_472,0.541
A6NDX4_1_124,0.499
A6NDX5_1_291,0.484
A6NDX5_514_552,0.589
A6NDY0_228_278,0.529
A6NDY0_1_139,0.558
A6NDY2_1_464,0.504
A6NDZ8_1_165,0.509
A6NE01_2238_2351,0.522
A6NE01_1_211,0.474
A6NE02_1_42,0.529
A6NE21_1_464,0.513
A6NE52_1349_1622,0.483
A6NE52_1_64,0.53
A6NE52_783_1184,0.47
A6NE82_1_165,0.52
A6NEC2_1_52,0.544
A6NED2_253_282,0.61
A6NEE1_1_33,0.545
A6NEE1_428_506,0.542
A6NEF3_465_574,0.54
A6NEF3_1_86,0.518
A6NEH6_156_219,0.481
A6NEH6_1_98,0.539
A6NEH8_1_195,0.513
A6NEL2_78_596,0.49
A6NEL2_724_793,0.525
A6NEL3_1_165,0.49
A6NEM1_329_432,0.552
A6NEM1_1_85,0.528
A6NEN9_134_183,0.591
A6NEQ0_84_496,0.444
A6NEQ2_105_426,0.487
A6NEQ2_1_55,0.557
A6NER0_1_50,0.547
A6NER0_214_549,0.473
A6NER3_1_117,0.512
A6NES4_1251_1289,0.556
A6NES4_1_72,0.57
A6NES4_472_581,0.516
A6NET4_217_321,0.512
A6NEV1_1_60,0.523
A6NEV1_101_266,0.482
A6NEW6_1_464,0.515
A6NEY3_1_87,0.509
A6NF01_1_96,0.557
A6NF01_138_834,0.507
A6NF34_1_73,0.506
A6NF34_370_631,0.51
A6NF36_1_43,0.532
A6NF83_1_58,0.504
A6NFA0_1_338,0.501
A6NFA1_355_517,0.543
A6NFA1_1_33,0.57
A6NFC9_164_320,0.503
A6NFD8_126_242,0.526
A6NFE2_1_343,0.483
A6NFF2_1_35,0.574
A6NFI3_933_1004,0.534
A6NFI3_1_164,0.594
A6NFI3_208_353,0.567
A6NFI3_494_700,0.516
A6NFK2_1_248,0.466
A6NFN3_180_312,0.491
A6NFN3_1_94,0.556
A6NFN9_331_502,0.518
A6NFQ7_76_191,0.515
A6NFR6_1_353,0.468
A6NFT4_1_40,0.549
A6NFU0_1_32,0.541
A6NFX1_1_41,0.567
A6NFY4_1_40,0.581
A6NFY7_70_115,0.556
A6NFZ4_44_105,0.567
A6NG13_71_104,0.579
A6NGA9_1_40,0.578
A6NGA9_220_273,0.556
A6NGB0_215_276,0.546
A6NGB0_1_47,0.566
A6NGB7_177_291,0.512
A6NGB9_72_483,0.52
A6NGB9_1_35,0.564
A6NGC4_227_264,0.572
A6NGD5_107_360,0.534
A6NGD5_1_49,0.551
A6NGE4_542_600,0.493
A6NGE4_1_136,0.602
A6NGG3_1_77,0.533
A6NGG8_333_1288,0.485
A6NGG8_1_180,0.514
A6NGH7_1_138,0.499
A6NGK3_1_116,0.537
A6NGN4_106_153,0.496
A6NGN9_1_43,0.529
A6NGR9_674_719,0.571
A6NGR9_1_161,0.539
A6NGU7_1_62,0.554
A6NGW2_1095_1138,0.55
A6NGW2_1732_1772,0.551
A6NGW2_1_784,0.467
A6NGY1_1_170,0.523
A6NGY1_237_282,0.592
A6NGY3_1_70,0.537
A6NGZ8_1_99,0.494
A6NH11_1_73,0.55
A6NH13_1_148,0.533
A6NH21_373_425,0.536
A6NH21_1_113,0.532
A6NH21_486_518,0.54
A6NH52_184_213,0.573
A6NHG4_83_134,0.565
A6NHJ4_1_260,0.504
A6NHM9_1_32,0.548
A6NHN0_1_334,0.497
A6NHN6_1_443,0.508
A6NHP3_1_187,0.441
A6NHP3_273_334,0.597
A6NHQ2_1_100,0.59
A6NHQ4_1_379,0.509
A6NHR8_1_397,0.48
A6NHR9_1_33,0.567
A6NHR9_1949_2005,0.561
A6NHR9_438_469,0.511
A6NHS1_1_94,0.517
A6NHS7_130_340,0.523
A6NHT5_1_225,0.53
A6NHT5_302_357,0.549
A6NHY2_1_68,0.524
A6NI03_295_329,0.578
A6NI15_1_117,0.543
A6NI28_578_822,0.525
A6NI28_364_394,0.58
A6NI47_366_508,0.558
A6NI47_1_129,0.518
A6NI56_573_667,0.518
A6NI56_117_149,0.571
A6NI56_1_72,0.56
A6NI72_333_391,0.549
A6NI72_129_162,0.561
A6NI73_237_299,0.539
A6NI73_1_40,0.553
A6NI79_1_53,0.524
A6NI86_404_522,0.565
A6NI86_1_87,0.512
A6NI87_1_76,0.514
A6NI87_207_242,0.514
A6NIE6_159_191,0.561
A6NIE6_1_55,0.546
A6NIE9_1_71,0.533
A6NIH7_1_50,0.577
A6NIJ5_1_464,0.499
A6NIK2_239_292,0.548
A6NIM6_528_579,0.528
A6NIM6_246_300,0.549
A6NIM6_1_40,0.556
A6NIN4_114_190,0.444
A6NIR3_337_412,0.568
A6NIR3_1_287,0.501
A6NIU2_1_74,0.517
A6NIV6_1_30,0.584
A6NIV6_521_560,0.63
A6NIX2_1_193,0.515
A6NIY4_1_189,0.479
A6NIY4_279_342,0.62
A6NJ08_1_165,0.498
A6NJ46_1_137,0.515
A6NJ46_198_265,0.523
A6NJ64_227_397,0.508
A6NJ64_1_161,0.535
A6NJ69_1_53,0.525
A6NJ78_340_377,0.547
A6NJ78_1_71,0.525
A6NJ88_1_533,0.515
A6NJB7_1_356,0.502
A6NJG2_243_315,0.508
A6NJG2_1_111,0.52
A6NJG6_1_81,0.548
A6NJG6_142_315,0.511
A6NJI1_1_115,0.508
A6NJI9_195_287,0.522
A6NJJ6_1_85,0.537
A6NJL1_1_47,0.535
A6NJL1_109_358,0.52
A6NJQ4_1_464,0.532
A6NJR5_1_144,0.523
A6NJT0_1_103,0.538
A6NJT0_173_531,0.503
A6NJU9_1_1138,0.495
A6NJW4_1_47,0.526
A6NJZ7_891_1006,0.535
A6NJZ7_1170_1463,0.502
A6NJZ7_493_567,0.522
A6NJZ7_152_376,0.507
A6NJZ7_689_843,0.514
A6NJZ7_1512_1586,0.518
A6NK53_1_454,0.481
A6NK59_1_52,0.533
A6NK75_1_188,0.504
A6NK75_537_572,0.584
A6NK89_441_507,0.576
A6NK89_276_313,0.604
A6NK89_46_88,0.342
A6NK89_131_221,0.539
A6NKB5_1059_1090,0.565
A6NKB5_81_827,0.516
A6NKB5_1858_2137,0.498
A6NKC0_1_464,0.505
A6NKC9_1_31,0.58
A6NKC9_150_451,0.494
A6NKD2_1_92,0.5
A6NKD9_161_419,0.533
A6NKF1_1_54,0.558
A6NKF2_1_98,0.524
A6NKF2_228_412,0.52
A6NKF7_1_163,0.502
A6NKG5_1_191,0.552
A6NKG5_527_715,0.524
A6NKG5_968_1358,0.417
A6NKG5_365_415,0.504
A6NKL6_1_621,0.493
A6NKN8_1_32,0.614
A6NKP2_1_34,0.612
A6NKP2_390_422,0.528
A6NKQ9_1_44,0.545
A6NKQ9_158_187,0.572
A6NKT7_750_1058,0.515
A6NKT7_1167_1354,0.541
A6NKT7_1469_1662,0.549
A6NKU9_1_389,0.44
A6NKW6_96_160,0.547
A6NKX1_1_122,0.531
A6NKX4_516_556,0.492
A6NKX4_47_126,0.549
A6NL05_1_159,0.505
A6NL46_1_340,0.495
A6NL88_1_77,0.544
A6NL88_136_538,0.494
A6NL99_279_342,0.564
A6NLC5_1_250,0.519
A6NLC8_1_84,0.479
A6NLE4_130_172,0.566
A6NLE4_1_90,0.528
A6NLF2_450_546,0.534
A6NLF2_75_335,0.519
A6NLI5_297_331,0.56
A6NLJ0_1_315,0.519
A6NLP5_1_38,0.595
A6NLU5_157_285,0.519
A6NLW8_161_204,0.574
A6NLX3_1_86,0.573
A6NLX4_1_37,0.552
A6NLX4_75_147,0.585
A6NM10_1_60,0.514
A6NM10_247_295,0.537
A6NM11_1082_1700,0.416
A6NM11_1_835,0.539
A6NM28_368_416,0.576
A6NM28_64_155,0.531
A6NM36_1_36,0.54
A6NM43_519_557,0.582
A6NM43_1_38,0.569
A6NM62_259_1247,0.491
A6NM66_1_108,0.54
A6NMA1_36_111,0.62
A6NMB1_448_481,0.493
A6NMB9_1_373,0.509
A6NMD0_1_228,0.5
A6NMD2_1_82,0.542
A6NMD2_412_632,0.511
A6NMK8_1_404,0.518
A6NMK8_494_535,0.441
A6NML5_102_140,0.527
A6NMN3_252_283,0.629
A6NMN3_151_193,0.577
A6NMN3_1_101,0.538
A6NMS7_1_835,0.527
A6NMS7_1083_1700,0.434
A6NMT0_248_343,0.554
A6NMT0_1_174,0.491
A6NMU1_266_304,0.54
A6NMX2_1_57,0.51
A6NMZ2_1_37,0.556
A6NMZ7_201_231,0.587
A6NMZ7_2175_2263,0.536
A6NMZ7_1_30,0.56
A6NMZ7_1378_1746,0.508
A6NN06_1_94,0.503
A6NN14_60_616,0.548
A6NN14_1202_1252,0.536
A6NN73_381_597,0.516
A6NN73_1_83,0.552
A6NN90_1_31,0.59
A6NN90_129_582,0.475
A6NNA2_97_597,0.501
A6NNA2_1_50,0.561
A6NNA5_1_30,0.53
A6NNA5_96_263,0.546
A6NNB3_1_86,0.533
A6NNC1_1_865,0.51
A6NNE9_325_402,0.518
A6NNE9_1_168,0.533
A6NNH2_1_459,0.523
A6NNJ1_1_464,0.49
A6NNL0_1_334,0.517
A6NNL0_420_878,0.498
A6NNM3_1511_1585,0.538
A6NNM3_1171_1464,0.501
A6NNM3_136_572,0.515
A6NNM3_685_842,0.504
A6NNM3_892_1005,0.532
A6NNM8_510_815,0.508
A6NNM8_1_88,0.362
A6NNP5_161_214,0.545
A6NNT2_216_677,0.532
A6NNT2_1_117,0.537
A6NNT2_881_1141,0.502
A6NNV3_1_145,0.473
A6NNV3_233_262,0.604
A6NNW6_185_225,0.573
A6NNW6_326_357,0.59
A6NNW6_585_625,0.614
A6NNY8_1_66,0.55
A6NP11_258_290,0.57
A6NP11_1_197,0.509
A6NP61_1_218,0.508
A6PVC2_78_122,0.585
A6PVC2_223_261,0.558
A6PVC2_1_38,0.572
A6PVC2_595_850,0.526
A6PVL3_1_124,0.496
A6PVS8_237_425,0.537
A6PVS8_1_42,0.53
A6PVY3_1_158,0.502
A6QL63_251_351,0.551
A6QL63_753_793,0.521
A6QL63_1_104,0.494
A6QL63_382_507,0.522
A6QL64_249_1380,0.529
A6QL64_1470_1517,0.572
A6QL64_1801_1915,0.533
A6QL64_1_34,0.554
A6QL64_1626_1666,0.555
A6XGL0_1_67,0.521
A7E2F4_414_631,0.533
A7E2F4_1_102,0.543
A7E2S9_207_258,0.582
A7E2U8_106_309,0.525
A7E2V4_302_333,0.554
A7E2V4_1_81,0.52
A7E2V4_1008_1279,0.526
A7E2V4_1422_1668,0.528
A7E2V4_491_767,0.458
A7E2Y1_1720_1983,0.528
A7E2Y1_234_267,0.568
A7E2Y1_662_702,0.545
A7E2Y1_1_59,0.516
A7E2Y1_1008_1443,0.521
A7KAX9_315_357,0.574
A7KAX9_1_137,0.525
A7MBM2_1117_1401,0.516
A7MBM2_1_161,0.505
A7MBM2_226_284,0.535
A7MCY6_328_615,0.5
A7MCY6_179_221,0.529
A7MCY6_1_40,0.595
A7MD48_1_611,0.544
A7XYQ1_269_873,0.507
A7XYQ1_1_144,0.534
A7XYQ1_189_234,0.545
A8CG34_1_34,0.58
A8CG34_66_1229,0.517
A8K010_1_186,0.517
A8K0R7_437_811,0.544
A8K0R7_1_351,0.502
A8K0S8_1_254,0.52
A8K0S8_305_358,0.554
A8K0Z3_132_465,0.512
A8K2U0_618_736,0.509
A8K4G0_127_201,0.53
A8K554_1_130,0.484
A8K5M9_1_146,0.496
A8K7I4_865_914,0.534
A8K830_1_154,0.521
A8K855_177_252,0.53
A8K855_1_38,0.539
A8K8P3_740_1157,0.463
A8K8P3_1_123,0.572
A8K8V0_1_174,0.529
A8K8V0_360_405,0.522
A8K979_639_691,0.543
A8K979_242_597,0.497
A8MPP1_511_567,0.538
A8MPP1_287_322,0.569
A8MPP1_74_231,0.507
A8MPX8_478_591,0.543
A8MPX8_317_356,0.561
A8MPX8_1_70,0.517
A8MPY1_1_64,0.544
A8MPY1_369_445,0.47
A8MQ03_1_144,0.511
A8MQ11_1_134,0.524
A8MQ14_715_801,0.529
A8MQ14_55_275,0.503
A8MQ27_1_38,0.566
A8MQ27_195_282,0.545
A8MQ27_429_507,0.551
A8MQB3_1_221,0.513
A8MQT2_383_603,0.541
A8MQT2_1_77,0.543
A8MRT5_1_1133,0.499
